Category,Product Name,SKU,Image URLs,Price,Sizes,Colors
ao-bong-da-ban-player-2022,Tuyển Ý home Euro 2024 bản player full bộ,tuyen-y-home-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08657_b80bebe28dfa4cd4a83a39cb4007d7cb_master.jpg, https://product.hstatic.net/200000580329/product/vh_08665_95a921f2ca0548269c1335ecc9a50159_master.jpg, https://product.hstatic.net/200000580329/product/vh_08667_74ea3331b0fd4ae9842d46f139a2814d_master.jpg, https://product.hstatic.net/200000580329/product/vh_08669_13af7ce184fe41b4846414e4d4f3539c_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,Tuyển Đức home Euro 2024 bản player full bộ,tuyen-duc-home-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08641_df5d85fa05964cf8a3baebda12118a0c_master.jpg, https://product.hstatic.net/200000580329/product/vh_08648_07a7bcfec9194c9684a111cc01e34aa9_master.jpg, https://product.hstatic.net/200000580329/product/vh_08653_637f725d61a24de292161c4f078fde2c_master.jpg, https://product.hstatic.net/200000580329/product/vh_08656_c545eed0c01347e18036978c718c5798_master.jpg","400,000₫",,
ao-bong-da-ban-player-2022,Tuyển Pháp home Euro 2024 bản player full bộ,tuyen-phap-home-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08621_dbf8a6ed6cb74416b23d6a14d700fe70_master.jpg, https://product.hstatic.net/200000580329/product/vh_08626_c2aaf5e8f3d14247850e0b29e52ac742_master.jpg, https://product.hstatic.net/200000580329/product/vh_08632_c1c7a94ff42e4aca9ec1ffce3e9365a5_master.jpg, https://product.hstatic.net/200000580329/product/vh_08640_7c0325a11a764300b7487e6be2e1fc41_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,Bồ Đào Nha home Euro 2024 bản player full bộ,bo-dao-nha-home-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08604_b2491065c1074a2c9453a388d85e8d9e_master.jpg, https://product.hstatic.net/200000580329/product/vh_08616_04c632e41fa24ba2bb52e829b0b14a65_master.jpg, https://product.hstatic.net/200000580329/product/vh_08608_c750afca740746249453b8e5fe8ac531_master.jpg, https://product.hstatic.net/200000580329/product/vh_08620_5474902e3a564586963ad5a0e8918013_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,Argentina home Copa 2024 bản player full bộ,argentina-home-copa-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08588_2e89ba6a8d214cafbeff3f467c491e95_master.jpg, https://product.hstatic.net/200000580329/product/vh_08597_7d450a36650144439d5db81670257c8d_master.jpg, https://product.hstatic.net/200000580329/product/vh_08593_0d638be99d5e4f2797bb91e4d9968459_master.jpg, https://product.hstatic.net/200000580329/product/vh_08602_65c2233341ad4c46ae8a364ab6e11787_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,Đức away Euro 2024 bản player full bộ,duc-away-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08568_e86005be854d40a497e9af7beec35c47_master.jpg, https://product.hstatic.net/200000580329/product/vh_08576_19cc5b861e224b648167ec0d23461dfb_master.jpg, https://product.hstatic.net/200000580329/product/vh_08580_40e48fc7b64a45038d0cb4edbd2de2de_master.jpg, https://product.hstatic.net/200000580329/product/vh_08584_6156a4cd6688469c813e06d06a86f9d0_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,Bồ Đào Nha away Euro 2024 bản player full bộ,bo-dao-nha-away-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08557_5ddd8f2fd4cd4a798d1ee70db19df98e_master.jpg, https://product.hstatic.net/200000580329/product/vh_08560_7090391d331140f481cd61fe636234a6_master.jpg, https://product.hstatic.net/200000580329/product/vh_08563_fbfe143cda6446509e160226654b8d5a_master.jpg, https://product.hstatic.net/200000580329/product/vh_08565_ce451a816ae346bdad3788cb970c21ca_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,Tuyển Anh home Euro 2024 bản player full bộ,tuyen-anh-home-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08538_cb59cc88ef6641198f4384c81ebceaec_master.jpg, https://product.hstatic.net/200000580329/product/vh_08541_5add954d07e74eed80250cb1b1fcf432_master.jpg, https://product.hstatic.net/200000580329/product/vh_08544_a71c006113214ecca5cd02580f44567e_master.jpg, https://product.hstatic.net/200000580329/product/vh_08553_41b4b8dc057c4d8c9d080bbc1a2b8252_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,Tây ban nha home Euro 2024 bản player full bộ,tay-ban-nha-home-euro-2024-ban-player-full-bo,"https://product.hstatic.net/200000580329/product/vh_08522_5d1687784ed049bf970a36678d338b6c_master.jpg, https://product.hstatic.net/200000580329/product/vh_08528_da2bbbb8576a4a65ba6f016cd5efe62d_master.jpg, https://product.hstatic.net/200000580329/product/vh_08531_da7ff88ebbaa4f3aafad46c0c4fcf166_master.jpg, https://product.hstatic.net/200000580329/product/vh_08536_5592d04b2d724b2aa5ce5b7777f97ee6_master.jpg","400,000₫","S, M, L, XL",
ao-bong-da-ban-player-2022,T1 hoodie 2023,t1-hoodie-2023,"https://product.hstatic.net/200000580329/product/skaa7570_2dbd969863d8472794ddecaef54194b9_master.jpg, https://product.hstatic.net/200000580329/product/skaa7577_8e4cfb57b7814f5d99669c2c0119ce19_master.jpg, https://product.hstatic.net/200000580329/product/skaa7573_e33d62d13a2d46659e3f891c2c58e921_master.jpg, https://product.hstatic.net/200000580329/product/skaa7574_ffc16ba8729440f999573cc97bdf2bb7_master.jpg","450,000₫","S, M, L, XL, XXL",
